Duty Period #,Flights
377,"['CC5070', 'CC3960', 'CC4519']"
378,"['CC2745', 'CC3741', 'CC2724', 'CC3404', 'CC1701']"
379,"['CC2361', 'CC1011', 'CC2773', 'CC3540']"
380,"['CC1110', 'CC2032', 'CC1394', 'CC2146', 'CC1814']"
381,"['CC1210', 'CC1918', 'CC1011', 'CC2773', 'CC3718']"
382,"['CC3897', 'CC2398', 'CC1551', 'CC2806']"
383,"['CC2410', 'CC1373', 'CC2697', 'CC3597', 'CC2594']"
384,"['CC1110', 'CC2002', 'CC1394', 'CC2627']"
385,"['CC1638', 'CC2332', 'CC1301', 'CC3056']"
386,"['CC2097', 'CC1069', 'CC2500', 'CC1347']"
387,"['CC1918', 'CC1463', 'CC2992']"
388,"['CC3741', 'CC2124', 'CC1601', 'CC2146']"
389,"['CC2410', 'CC1551', 'CC2443']"
390,"['CC3621', 'CC2277', 'CC1011', 'CC2204', 'CC1490']"
391,"['CC1069', 'CC2332', 'CC1394', 'CC2146', 'CC1125']"
392,"['CC1069', 'CC2332', 'CC1394', 'CC2146', 'CC1527']"
393,"['CC1674', 'CC3778', 'CC2124', 'CC1394', 'CC2594']"
394,"['CC1210', 'CC2175', 'CC1463', 'CC2204', 'CC1490']"
395,"['CC1210', 'CC2277', 'CC1198', 'CC2066', 'CC1814']"
396,"['CC2538', 'CC1301', 'CC2146', 'CC1125']"
397,"['CC1152', 'CC2361', 'CC1582', 'CC2594']"
398,"['CC1638', 'CC2849', 'CC3809']"
399,"['CC1210', 'CC1940', 'CC1601', 'CC2953']"
400,"['CC2097', 'CC1551', 'CC2443', 'CC1347']"
401,"['CC2745', 'CC3778', 'CC2002', 'CC1582', 'CC3056']"
402,"['CC1210', 'CC2361', 'CC1011', 'CC3149']"
403,"['CC3621', 'CC2066', 'CC1527']"
404,"['CC1069', 'CC2697', 'CC3597', 'CC3191']"
405,"['CC1210', 'CC2175', 'CC1373', 'CC2002', 'CC1814']"
406,"['CC1152', 'CC2925', 'CC3960']"
407,"['CC3741', 'CC2849', 'CC4047', 'CC4519']"
408,"['CC1210', 'CC2361', 'CC1198', 'CC3149', 'CC4679']"
409,"['CC1152', 'CC2398', 'CC1011', 'CC2875']"
410,"['CC3677', 'CC2277', 'CC1247', 'CC1975']"
411,"['CC1638', 'CC2925', 'CC4047', 'CC4314']"
412,"['CC1110', 'CC2032', 'CC1198', 'CC2066', 'CC1874']"
413,"['CC3741', 'CC2724', 'CC3568']"
414,"['CC3621', 'CC2538', 'CC1011', 'CC2773', 'CC3718']"
415,"['CC3621', 'CC2277', 'CC1551', 'CC2246', 'CC1874']"
416,"['CC3897', 'CC2277', 'CC1799', 'CC4781']"
417,"['CC1210', 'CC1940', 'CC1301', 'CC2204', 'CC1814']"
418,"['CC1638', 'CC2032', 'CC1551', 'CC2443', 'CC1527']"
419,"['CC1152', 'CC2361', 'CC1247', 'CC2443', 'CC1125']"
420,"['CC3677', 'CC2277', 'CC1551', 'CC2443', 'CC1347']"
421,"['CC3897', 'CC3293', 'CC4974', 'CC2627']"
422,"['CC1152', 'CC2486', 'CC1301', 'CC2953']"
423,"['CC3677', 'CC2032', 'CC1011', 'CC2204', 'CC1527']"
424,"['CC1284', 'CC2066', 'CC1125']"
425,"['CC2175', 'CC1373', 'CC2302', 'CC1874']"
426,"['CC1210', 'CC2277', 'CC1011', 'CC2627']"
427,"['CC1210', 'CC2398', 'CC1011', 'CC2204', 'CC1814']"
428,"['CC3621', 'CC2538', 'CC1394', 'CC2875']"
429,"['CC3897', 'CC2361', 'CC1011', 'CC2773', 'CC3540']"
430,"['CC3677', 'CC2925', 'CC4047', 'CC4314']"
431,"['CC3677', 'CC2486', 'CC1394', 'CC2875']"
432,"['CC1918', 'CC1551', 'CC2246']"
433,"['CC1638', 'CC2032', 'CC1301', 'CC2204', 'CC1125']"
434,"['CC3897', 'CC2277', 'CC1198', 'CC2146', 'CC1527']"
435,"['CC1152', 'CC2398', 'CC1011', 'CC2204', 'CC1874']"
436,"['CC4439', 'CC4200']"
437,"['CC3621', 'CC2032', 'CC1601', 'CC2146', 'CC1125']"
438,"['CC1638', 'CC2032', 'CC1031', 'CC2627']"
439,"['CC4439', 'CC3977', 'CC4344', 'CC3191']"
440,"['CC1210', 'CC2277', 'CC1247', 'CC2146']"
441,"['CC3677', 'CC2277', 'CC1198', 'CC2246', 'CC1701']"
442,"['CC3677', 'CC2277', 'CC1011', 'CC2953']"
443,"['CC3677', 'CC2032', 'CC1011', 'CC2443', 'CC1874']"
444,"['CC4215', 'CC2066', 'CC1527']"
445,"['CC2097', 'CC1069', 'CC2724', 'CC3473', 'CC1762']"
446,"['CC3897', 'CC1918', 'CC1551', 'CC2806']"
447,"['CC3897', 'CC2398', 'CC1601', 'CC2953']"
448,"['CC1435', 'CC2773', 'CC3540']"
449,"['CC1152', 'CC2277', 'CC1301', 'CC2204', 'CC1874']"
450,"['CC4215', 'CC2246', 'CC1347', 'CC2594']"
451,"['CC3897', 'CC2538', 'CC1301', 'CC2806']"
452,"['CC3677', 'CC1940', 'CC1301', 'CC2806', 'CC3540']"
453,"['CC2410', 'CC1373', 'CC2246', 'CC1874']"
454,"['CC1674', 'CC3741', 'CC2579', 'CC3404']"
455,"['CC3018', 'CC4344', 'CC3056']"
456,"['CC2538', 'CC1601']"
457,"['CC1110', 'CC2654', 'CC3404', 'CC1125']"
458,"['CC1210', 'CC2538', 'CC1198', 'CC2443', 'CC1527']"
459,"['CC2097', 'CC1463', 'CC2302', 'CC1814']"
460,"['CC3897', 'CC2277', 'CC1198', 'CC3056']"
461,"['CC3621', 'CC2332', 'CC1762']"
462,"['CC1152', 'CC2398', 'CC1551', 'CC2066', 'CC1490']"
463,"['CC2410', 'CC1011', 'CC2806', 'CC3718']"
464,"['CC2097', 'CC1284', 'CC2724', 'CC3597', 'CC3056']"
465,"['CC1210', 'CC1918', 'CC1435', 'CC2246', 'CC1125']"
466,"['CC1152', 'CC2398', 'CC1198', 'CC2066', 'CC1814']"
467,"['CC3897', 'CC1918', 'CC1463', 'CC2443', 'CC1125']"
468,"['CC1210', 'CC2175', 'CC1435', 'CC2066', 'CC1527']"
469,"['CC1210', 'CC1918']"
470,"['CC1110', 'CC2538', 'CC1011', 'CC2806', 'CC3718']"
471,"['CC1674', 'CC3741', 'CC2204', 'CC1125']"
472,"['CC1674', 'CC3741', 'CC2443', 'CC1347', 'CC2875']"
473,"['CC3897', 'CC2398', 'CC1247', 'CC2146', 'CC1490']"
474,"['CC1069', 'CC2002']"
475,"['CC3897', 'CC1918', 'CC1463', 'CC2697']"
476,"['CC2410', 'CC1551', 'CC2246', 'CC1701']"
477,"['CC2745', 'CC3778', 'CC2302', 'CC1031', 'CC3056']"
478,"['CC1284', 'CC2486', 'CC1394', 'CC2204', 'CC1874']"
479,"['CC1210', 'CC2277', 'CC1247', 'CC2204', 'CC1874']"
480,"['CC3621', 'CC1918', 'CC1247', 'CC2066', 'CC1814']"
481,"['CC3621', 'CC3343', 'CC5181', 'CC2146', 'CC1490']"
482,"['CC1152', 'CC2277', 'CC1011', 'CC2773', 'CC3568']"
483,"['CC3741', 'CC2002', 'CC1601', 'CC2146', 'CC1527']"
484,"['CC2175', 'CC1435', 'CC2654', 'CC3473', 'CC1762']"
485,"['CC1284', 'CC2806', 'CC3540']"
486,"['CC1152', 'CC2398', 'CC1031', 'CC3056']"
487,"['CC4829', 'CC2486', 'CC1601', 'CC2146', 'CC1490']"
488,"['CC1069', 'CC2124', 'CC1601', 'CC3191']"
489,"['CC2097', 'CC1069', 'CC1940', 'CC1582']"
490,"['CC1210', 'CC2443', 'CC1347']"
491,"['CC2175', 'CC1551', 'CC2146', 'CC1527']"
492,"['CC3621', 'CC2032', 'CC1301', 'CC2204', 'CC1814']"
493,"['CC3897', 'CC2894', 'CC4047', 'CC4519']"
494,"['CC3897', 'CC1918', 'CC1463', 'CC2500', 'CC1582']"
495,"['CC2097', 'CC1733', 'CC3473', 'CC1814']"
496,"['CC2097', 'CC1373', 'CC2500']"
497,"['CC2410', 'CC1551', 'CC2806']"
498,"['CC3897', 'CC1918', 'CC1011', 'CC2066', 'CC1490']"
499,"['CC1110', 'CC2332', 'CC1347', 'CC2875']"
500,"['CC3778', 'CC2724', 'CC3434', 'CC1125']"
501,"['CC1918', 'CC1463', 'CC2500', 'CC1347', 'CC2594']"
502,"['CC1152', 'CC2032', 'CC1198', 'CC2246']"
503,"['CC3897', 'CC2032', 'CC1198', 'CC2773', 'CC3568']"
504,"['CC2398', 'CC1011', 'CC2697', 'CC3718']"
505,"['CC4106', 'CC4483', 'CC4047']"
506,"['CC3621', 'CC2361', 'CC1582']"
507,"['CC2538', 'CC1198', 'CC2246', 'CC1490']"
508,"['CC2398', 'CC1198', 'CC2697', 'CC3597', 'CC3056']"
509,"['CC1069', 'CC2002', 'CC1762', 'CC3540']"
510,"['CC3840', 'CC2002', 'CC1031', 'CC2146', 'CC1814']"
511,"['CC1069', 'CC2332', 'CC1031', 'CC2953']"
512,"['CC1601', 'CC2146', 'CC1125']"
513,"['CC1373', 'CC2002', 'CC1582', 'CC3056']"
514,"['CC3897', 'CC2398', 'CC1551', 'CC2443', 'CC1490']"
515,"['CC1110', 'CC2654', 'CC3473', 'CC1347', 'CC2594']"
516,"['CC1210', 'CC2579', 'CC3473', 'CC1347', 'CC2875']"
517,"['CC2745', 'CC3741', 'CC2849', 'CC4047', 'CC4314']"
518,"['CC1110', 'CC2302', 'CC1601', 'CC2146', 'CC1125']"
519,"['CC3897', 'CC1918', 'CC1463']"
520,"['CC1152', 'CC2486', 'CC1394']"
521,"['CC1152', 'CC1940', 'CC1301', 'CC2806']"
522,"['CC4829', 'CC2124', 'CC1031', 'CC2146', 'CC1125']"
