Duty Period #,Flights,Origin,Destination,Departure,Arrival,Duty Time,Overnight,Cost
30,['CC1874'],EGLL,EIDW,20:55:00,22:15:00,0 days 02:10:00,555.0,1229.1666666666667
31,['CC1918'],LFPG,EGLL,08:50:00,09:40:00,0 days 01:40:00,785.0,1344.6666666666667
32,['CC1940'],LFPG,EGLL,12:20:00,13:10:00,0 days 01:40:00,785.0,1344.6666666666667
33,['CC1975'],LFPG,EGLL,19:45:00,20:35:00,0 days 01:40:00,785.0,1344.6666666666667
34,['CC2002'],LFPG,EGLL,12:55:00,13:45:00,0 days 01:40:00,785.0,1344.6666666666667
35,['CC2032'],LFPG,EGLL,10:40:00,11:30:00,0 days 01:40:00,785.0,1344.6666666666667
36,['CC2066'],LFPG,EGLL,16:40:00,17:30:00,0 days 01:40:00,785.0,1344.6666666666667
37,['CC2097'],LFPG,EGLL,06:30:00,07:20:00,0 days 01:40:00,785.0,1344.6666666666667
38,['CC2124'],LFPG,EGLL,13:05:00,13:55:00,0 days 01:40:00,785.0,1344.6666666666667
39,['CC2146'],LFPG,EGLL,19:00:00,19:50:00,0 days 01:40:00,785.0,1344.6666666666667
40,['CC2175'],LFPG,EGLL,08:25:00,09:15:00,0 days 01:40:00,785.0,1344.6666666666667
41,['CC2204'],LFPG,EGLL,18:20:00,19:20:00,0 days 01:50:00,785.0,1382.8333333333333
42,['CC2246'],LFPG,EGLL,16:40:00,17:40:00,0 days 01:50:00,785.0,1382.8333333333333
43,['CC2277'],LFPG,EGLL,10:10:00,11:10:00,0 days 01:50:00,785.0,1382.8333333333333
44,['CC2302'],LFPG,EGLL,14:00:00,15:00:00,0 days 01:50:00,785.0,1382.8333333333333
45,['CC2332'],LFPG,EGLL,12:05:00,13:05:00,0 days 01:50:00,785.0,1382.8333333333333
46,['CC2361'],LFPG,EGLL,09:35:00,10:35:00,0 days 01:50:00,785.0,1382.8333333333333
47,['CC2398'],LFPG,EGLL,09:25:00,10:25:00,0 days 01:50:00,785.0,1382.8333333333333
48,['CC2410'],LFPG,EGLL,07:25:00,08:25:00,0 days 01:50:00,785.0,1382.8333333333333
49,['CC2443'],LFPG,EGLL,16:55:00,17:55:00,0 days 01:50:00,785.0,1382.8333333333333
50,['CC2486'],LFPG,EGLL,12:25:00,13:25:00,0 days 01:50:00,785.0,1382.8333333333333
51,['CC2500'],LFPG,EGLL,15:05:00,16:15:00,0 days 02:00:00,785.0,1421.0
52,['CC2538'],LFPG,EGLL,09:30:00,10:40:00,0 days 02:00:00,785.0,1421.0
53,['CC2579'],LFPG,EHAM,12:55:00,13:50:00,0 days 01:45:00,705.0,1283.75
54,['CC2594'],LFPG,EHAM,21:40:00,22:35:00,0 days 01:45:00,705.0,1283.75
55,['CC2627'],LFPG,EHAM,20:25:00,21:20:00,0 days 01:45:00,705.0,1283.75
56,['CC2654'],LFPG,EHAM,13:15:00,14:10:00,0 days 01:45:00,705.0,1283.75
57,['CC2697'],LFPG,EHAM,16:15:00,17:10:00,0 days 01:45:00,705.0,1283.75
58,['CC2724'],LFPG,EHAM,12:50:00,13:45:00,0 days 01:45:00,705.0,1283.75
59,['CC2745'],LFPG,EHAM,07:30:00,08:25:00,0 days 01:45:00,705.0,1283.75
60,['CC2773'],LFPG,EHAM,17:20:00,18:15:00,0 days 01:45:00,705.0,1283.75
61,['CC2806'],LFPG,EHAM,17:45:00,18:40:00,0 days 01:45:00,705.0,1283.75
62,['CC2849'],LFPG,EDDF,13:00:00,14:10:00,0 days 02:00:00,650.0,1286.0
63,['CC2875'],LFPG,EDDF,21:55:00,23:05:00,0 days 02:00:00,650.0,1286.0
64,['CC2894'],LFPG,EDDF,09:55:00,11:05:00,0 days 02:00:00,650.0,1286.0
65,['CC2925'],LFPG,EDDF,10:25:00,11:35:00,0 days 02:00:00,650.0,1286.0
66,['CC2953'],LFPG,LEMD,19:45:00,21:50:00,0 days 02:55:00,555.0,1400.9166666666665
67,['CC2992'],LFPG,LEBL,13:50:00,15:40:00,0 days 02:40:00,775.0,1563.6666666666665
68,['CC3018'],LFPG,EDDM,11:15:00,12:30:00,0 days 02:05:00,660.0,1315.0833333333333
69,['CC3056'],LFPG,EDDM,21:30:00,22:55:00,0 days 02:15:00,660.0,1353.25
70,['CC3087'],LFPG,EDDM,15:10:00,16:45:00,0 days 02:25:00,660.0,1391.4166666666665
71,['CC3115'],LFPG,LIRF,11:35:00,13:45:00,0 days 03:00:00,785.0,1650.0
72,['CC3149'],LFPG,EIDW,16:15:00,17:50:00,0 days 02:25:00,555.0,1286.4166666666665
73,['CC3169'],LFPG,EIDW,07:30:00,09:15:00,0 days 02:35:00,555.0,1324.5833333333335
74,['CC3191'],LFPG,ESSA,20:50:00,23:20:00,0 days 03:20:00,540.0,1481.3333333333335
75,['CC3225'],LFPG,LPPT,09:15:00,11:40:00,0 days 03:15:00,630.0,1552.25
76,['CC3264'],LFPG,EDDT,06:25:00,08:15:00,0 days 02:40:00,555.0,1343.6666666666665
77,['CC3293'],LFPG,EDDT,09:15:00,11:05:00,0 days 02:40:00,555.0,1343.6666666666665
78,['CC3313'],LFPG,EPWA,13:40:00,15:55:00,0 days 03:05:00,435.0,1319.0833333333335
79,['CC3343'],LFPG,EGPH,08:35:00,10:15:00,0 days 02:30:00,410.0,1160.5
80,['CC3373'],LFPG,LICJ,10:25:00,12:50:00,0 days 03:15:00,375.0,1297.25
81,['CC3404'],EHAM,EGLL,16:25:00,17:40:00,0 days 02:05:00,785.0,1440.0833333333333
82,['CC3434'],EHAM,EGLL,16:45:00,18:00:00,0 days 02:05:00,785.0,1440.0833333333333
83,['CC3473'],EHAM,EGLL,15:50:00,17:05:00,0 days 02:05:00,785.0,1440.0833333333333
84,['CC3509'],EHAM,EGLL,12:55:00,14:10:00,0 days 02:05:00,785.0,1440.0833333333333
85,['CC3540'],EHAM,LFPG,21:40:00,22:35:00,0 days 01:45:00,1215.0,1793.75
86,['CC3568'],EHAM,LFPG,19:55:00,20:50:00,0 days 01:45:00,1215.0,1793.75
87,['CC3597'],EHAM,LFPG,18:30:00,19:25:00,0 days 01:45:00,1215.0,1793.75
88,['CC3621'],EHAM,LFPG,06:20:00,07:15:00,0 days 01:45:00,1215.0,1793.75
89,['CC3644'],EHAM,LFPG,18:50:00,19:45:00,0 days 01:45:00,1215.0,1793.75
90,['CC3677'],EHAM,LFPG,07:40:00,08:35:00,0 days 01:45:00,1215.0,1793.75
91,['CC3718'],EHAM,LFPG,20:55:00,21:50:00,0 days 01:45:00,1215.0,1793.75
92,['CC3741'],EHAM,LFPG,10:20:00,11:15:00,0 days 01:45:00,1215.0,1793.75
93,['CC3778'],EHAM,LFPG,10:35:00,11:30:00,0 days 01:45:00,1215.0,1793.75
94,['CC3809'],EDDF,LFPG,21:25:00,22:35:00,0 days 02:00:00,1215.0,1851.0
95,['CC3840'],EDDF,LFPG,08:45:00,09:55:00,0 days 02:00:00,1215.0,1851.0
96,['CC3852'],EDDF,LFPG,20:55:00,22:05:00,0 days 02:00:00,1215.0,1851.0
97,['CC3897'],EDDF,LFPG,06:05:00,07:15:00,0 days 02:00:00,1215.0,1851.0
98,['CC3919'],EDDF,EDDM,10:00:00,10:45:00,0 days 01:35:00,660.0,1200.5833333333333
99,['CC3960'],EDDF,EDDM,18:15:00,19:00:00,0 days 01:35:00,660.0,1200.5833333333333
100,['CC3977'],EDDF,EDDM,13:40:00,14:25:00,0 days 01:35:00,660.0,1200.5833333333333
101,['CC4009'],EDDF,EDDM,20:30:00,21:15:00,0 days 01:35:00,660.0,1200.5833333333333
102,['CC4047'],EDDF,EDDM,17:35:00,18:20:00,0 days 01:35:00,660.0,1200.5833333333333
103,['CC4078'],EDDF,EDDM,07:35:00,08:20:00,0 days 01:35:00,660.0,1200.5833333333333
104,['CC4106'],EDDF,EDDM,07:50:00,08:35:00,0 days 01:35:00,660.0,1200.5833333333333
105,['CC4126'],EDDF,EDDM,10:25:00,11:30:00,0 days 01:55:00,660.0,1276.9166666666667
106,['CC4163'],EDDF,EDDT,21:55:00,23:10:00,0 days 02:05:00,555.0,1210.0833333333333
107,['CC4200'],EDDF,EDDT,09:25:00,10:40:00,0 days 02:05:00,555.0,1210.0833333333333
108,['CC4215'],LEMD,LFPG,13:20:00,15:25:00,0 days 02:55:00,1215.0,2060.9166666666665
109,['CC4242'],LEBL,LFPG,20:15:00,22:05:00,0 days 02:40:00,1215.0,2003.6666666666665
110,['CC4282'],EDDM,LFPG,21:00:00,22:15:00,0 days 02:05:00,1215.0,1870.0833333333333
111,['CC4314'],EDDM,LFPG,20:45:00,22:10:00,0 days 02:15:00,1215.0,1908.25
112,['CC4344'],EDDM,LFPG,17:10:00,18:45:00,0 days 02:25:00,1215.0,1946.4166666666665
113,['CC4375'],EDDM,EDDF,09:50:00,10:35:00,0 days 01:35:00,650.0,1190.5833333333333
114,['CC4404'],EDDM,EDDF,11:25:00,12:10:00,0 days 01:35:00,650.0,1190.5833333333333
115,['CC4439'],EDDM,EDDF,06:55:00,07:40:00,0 days 01:35:00,650.0,1190.5833333333333
116,['CC4457'],EDDM,EDDF,12:35:00,13:20:00,0 days 01:35:00,650.0,1190.5833333333333
117,['CC4483'],EDDM,EDDF,13:20:00,14:05:00,0 days 01:35:00,650.0,1190.5833333333333
118,['CC4519'],EDDM,EDDF,20:25:00,21:10:00,0 days 01:35:00,650.0,1190.5833333333333
119,['CC4558'],EDDM,EDDF,12:35:00,13:20:00,0 days 01:35:00,650.0,1190.5833333333333
120,['CC4571'],EDDM,EDDT,18:05:00,19:25:00,0 days 02:10:00,555.0,1229.1666666666667
121,['CC4606'],EDDM,EDDT,19:05:00,20:25:00,0 days 02:10:00,555.0,1229.1666666666667
122,['CC4634'],LIRF,LFPG,20:20:00,22:30:00,0 days 03:00:00,1215.0,2080.0
123,['CC4679'],EIDW,EGLL,19:35:00,20:55:00,0 days 02:10:00,785.0,1459.1666666666667
124,['CC4694'],EIDW,EGLL,09:40:00,11:00:00,0 days 02:10:00,785.0,1459.1666666666667
125,['CC4731'],EIDW,EGLL,18:25:00,19:45:00,0 days 02:10:00,785.0,1459.1666666666667
126,['CC4769'],EIDW,EGLL,11:45:00,13:05:00,0 days 02:10:00,785.0,1459.1666666666667
127,['CC4781'],EIDW,LFPG,18:25:00,20:00:00,0 days 02:25:00,1215.0,1946.4166666666665
128,['CC4829'],EIDW,LFPG,07:45:00,09:30:00,0 days 02:35:00,1215.0,1984.5833333333335
129,['CC4843'],ESSA,LFPG,13:25:00,15:55:00,0 days 03:20:00,1215.0,2156.3333333333335
130,['CC4871'],ESSA,EFHK,09:45:00,11:00:00,0 days 02:05:00,570.0,1225.0833333333333
131,['CC4920'],LPPT,LFPG,08:30:00,10:55:00,0 days 03:15:00,1215.0,2137.25
132,['CC4949'],EDDT,LFPG,15:40:00,17:30:00,0 days 02:40:00,1215.0,2003.6666666666665
133,['CC4974'],EDDT,LFPG,15:55:00,17:45:00,0 days 02:40:00,1215.0,2003.6666666666665
134,['CC4993'],EDDT,EDDF,17:10:00,18:25:00,0 days 02:05:00,650.0,1305.0833333333333
135,['CC5037'],EDDT,EDDF,10:15:00,11:30:00,0 days 02:05:00,650.0,1305.0833333333333
136,['CC5070'],EDDT,EDDF,12:50:00,14:05:00,0 days 02:05:00,650.0,1305.0833333333333
137,['CC5095'],EDDT,EDDM,14:45:00,16:05:00,0 days 02:10:00,660.0,1334.1666666666667
138,['CC5124'],EFHK,ESSA,17:40:00,18:55:00,0 days 02:05:00,540.0,1195.0833333333333
139,['CC5141'],EPWA,LFPG,17:20:00,19:35:00,0 days 03:05:00,1215.0,2099.0833333333335
140,['CC5181'],EGPH,LFPG,13:55:00,15:35:00,0 days 02:30:00,1215.0,1965.5
141,['CC5203'],LICJ,LFPG,21:45:00,00:10:00,0 days 03:15:00,1215.0,2137.25
142,"['CC1210', 'CC2002', 'CC1347', 'CC2594']",EGLL,EHAM,06:05:00,22:35:00,0 days 06:55:00,705.0,2466.916666666667
143,"['CC3621', 'CC1918', 'CC1394', 'CC1975']",EHAM,EGLL,06:20:00,20:35:00,0 days 06:55:00,785.0,2546.916666666667
144,"['CC1918', 'CC1463', 'CC2302', 'CC1814']",LFPG,EIDW,08:50:00,22:45:00,0 days 07:30:00,555.0,2450.5
145,"['CC3897', 'CC2361', 'CC1011', 'CC2443']",EDDF,EGLL,06:05:00,17:55:00,0 days 07:20:00,785.0,2642.333333333333
146,"['CC3621', 'CC1918', 'CC1463', 'CC3087', 'CC4282']",EHAM,LFPG,06:20:00,22:15:00,0 days 09:45:00,1215.0,3625.75
147,"['CC3621', 'CC2538', 'CC1551', 'CC2697', 'CC3568']",EHAM,LFPG,06:20:00,20:50:00,0 days 09:05:00,1215.0,3473.083333333333
148,"['CC2097', 'CC1733', 'CC3473', 'CC1490']",LFPG,LFPG,06:30:00,22:20:00,0 days 07:40:00,0.0,1933.6666666666667
149,"['CC1210', 'CC2032', 'CC1198', 'CC2443', 'CC1814']",EGLL,EIDW,06:05:00,22:45:00,0 days 09:00:00,555.0,2794.0
150,"['CC3897', 'CC2361', 'CC1301', 'CC2806', 'CC3540']",EDDF,LFPG,06:05:00,22:35:00,0 days 09:10:00,1215.0,3492.166666666667
151,"['CC1940', 'CC1394', 'CC3056']",LFPG,EDDM,12:20:00,22:55:00,0 days 05:45:00,660.0,2154.75
152,"['CC3897', 'CC3018', 'CC4282']",EDDF,LFPG,06:05:00,22:15:00,0 days 06:10:00,1215.0,2805.166666666667
153,"['CC3621', 'CC2398', 'CC1198']",EHAM,LFPG,06:20:00,15:00:00,0 days 05:15:00,1215.0,2595.25
154,"['CC3840', 'CC2002', 'CC1031', 'CC3191']",EDDF,ESSA,08:45:00,23:20:00,0 days 08:40:00,540.0,2702.666666666667
155,"['CC1210', 'CC2175', 'CC1373', 'CC2146', 'CC1527']",EGLL,LFPG,06:05:00,22:30:00,0 days 08:40:00,1215.0,3377.666666666667
156,"['CC1210', 'CC2277', 'CC1551', 'CC2146']",EGLL,EGLL,06:05:00,19:50:00,0 days 07:00:00,0.0,1781.0
157,"['CC3840', 'CC2302', 'CC1701']",EDDF,EHAM,08:45:00,21:35:00,0 days 05:55:00,705.0,2237.916666666667
158,"['CC3897', 'CC2654', 'CC3434', 'CC1527']",EDDF,LFPG,06:05:00,22:30:00,0 days 07:40:00,1215.0,3148.666666666667
159,"['CC3621', 'CC2361', 'CC1198', 'CC2443', 'CC1527']",EHAM,LFPG,06:20:00,22:30:00,0 days 08:55:00,1215.0,3434.916666666667
160,"['CC2097', 'CC1373', 'CC2002', 'CC1394', 'CC2146']",LFPG,EGLL,06:30:00,19:50:00,0 days 08:40:00,785.0,2947.666666666667
161,"['CC1210', 'CC2002', 'CC1031', 'CC2594']",EGLL,EHAM,06:05:00,22:35:00,0 days 06:45:00,705.0,2428.75
162,"['CC3677', 'CC2032', 'CC1582', 'CC3191']",EHAM,ESSA,07:40:00,23:20:00,0 days 08:35:00,540.0,2683.583333333333
163,"['CC2002', 'CC1301', 'CC2146', 'CC1527']",LFPG,LFPG,12:55:00,22:30:00,0 days 07:00:00,0.0,1781.0
164,"['CC3621', 'CC2032', 'CC1011', 'CC2773', 'CC3568']",EHAM,LFPG,06:20:00,20:50:00,0 days 08:35:00,1215.0,3358.583333333333
165,"['CC1638', 'CC2332', 'CC1394', 'CC2204', 'CC1125']",EGLL,LFPG,07:20:00,22:05:00,0 days 09:10:00,1215.0,3492.166666666667
166,"['CC1210', 'CC2398', 'CC1247', 'CC2246', 'CC1814']",EGLL,EIDW,06:05:00,22:45:00,0 days 09:10:00,555.0,2832.166666666667
167,"['CC2410', 'CC1198', 'CC2806', 'CC3568']",LFPG,LFPG,07:25:00,20:50:00,0 days 07:00:00,0.0,1781.0
168,"['CC1435', 'CC2246', 'CC1347']",EGLL,LFPG,10:55:00,20:20:00,0 days 05:30:00,1215.0,2652.5
169,"['CC1210', 'CC2697', 'CC3644', 'CC2875']",EGLL,EDDF,06:05:00,23:05:00,0 days 07:10:00,650.0,2469.166666666667
170,"['CC3840', 'CC2486', 'CC1762', 'CC3540']",EDDF,LFPG,08:45:00,22:35:00,0 days 07:40:00,1215.0,3148.666666666667
171,"['CC3621', 'CC2032', 'CC1198', 'CC2246', 'CC1490']",EHAM,LFPG,06:20:00,22:20:00,0 days 08:45:00,1215.0,3396.75
172,"['CC3741', 'CC2654', 'CC3473', 'CC1347', 'CC2875']",EHAM,EDDF,10:20:00,23:05:00,0 days 09:25:00,650.0,2984.416666666667
173,"['CC1638', 'CC2925', 'CC3960', 'CC4519']",EGLL,EDDF,07:20:00,21:10:00,0 days 07:10:00,650.0,2469.166666666667
174,"['CC3897', 'CC2724', 'CC3434', 'CC1490']",EDDF,LFPG,06:05:00,22:20:00,0 days 07:40:00,1215.0,3148.666666666667
175,"['CC1210', 'CC2500', 'CC1762']",EGLL,EHAM,06:05:00,19:35:00,0 days 05:45:00,705.0,2199.75
176,"['CC3897', 'CC1918', 'CC1394', 'CC2875']",EDDF,EDDF,06:05:00,23:05:00,0 days 07:30:00,0.0,1895.5
177,"['CC3741', 'CC2302', 'CC1582', 'CC3191']",EHAM,ESSA,10:20:00,23:20:00,0 days 08:45:00,540.0,2721.75
178,"['CC1152', 'CC2361', 'CC1247', 'CC2246', 'CC1874']",EGLL,EIDW,06:50:00,22:15:00,0 days 09:10:00,555.0,2832.166666666667
179,"['CC1110', 'CC2361', 'CC1301']",EGLL,LFPG,06:50:00,16:30:00,0 days 05:20:00,1215.0,2614.333333333333
180,"['CC1210', 'CC2032', 'CC1527']",EGLL,LFPG,06:05:00,22:30:00,0 days 05:10:00,1215.0,2576.166666666667
181,"['CC3840', 'CC2486', 'CC1582', 'CC3056']",EDDF,EDDM,08:45:00,22:55:00,0 days 07:55:00,660.0,2650.916666666667
182,"['CC2032', 'CC1031']",LFPG,LFPG,10:40:00,17:45:00,0 days 03:20:00,0.0,941.3333333333334
183,"['CC1110', 'CC2361', 'CC1394', 'CC2146', 'CC1490']",EGLL,LFPG,06:50:00,22:20:00,0 days 08:50:00,1215.0,3415.833333333333
184,"['CC3897', 'CC2486', 'CC1301', 'CC2875']",EDDF,EDDF,06:05:00,23:05:00,0 days 07:40:00,0.0,1933.6666666666667
185,"['CC3897', 'CC2486', 'CC1301', 'CC1975']",EDDF,EGLL,06:05:00,20:35:00,0 days 07:20:00,785.0,2642.333333333333
186,"['CC2277', 'CC1011', 'CC2443', 'CC1527']",LFPG,LFPG,10:10:00,22:30:00,0 days 07:10:00,0.0,1819.1666666666667
187,"['CC1733', 'CC3434']",EGLL,EGLL,08:55:00,18:00:00,0 days 04:10:00,0.0,1132.1666666666665
188,"['CC1210', 'CC1918', 'CC1011', 'CC1975']",EGLL,EGLL,06:05:00,20:35:00,0 days 06:40:00,0.0,1704.6666666666667
189,"['CC1210', 'CC2175', 'CC1463', 'CC2443', 'CC1527']",EGLL,LFPG,06:05:00,22:30:00,0 days 08:50:00,1215.0,3415.833333333333
190,"['CC3677', 'CC2277', 'CC1551', 'CC2697', 'CC3540']",EHAM,LFPG,07:40:00,22:35:00,0 days 08:55:00,1215.0,3434.916666666667
191,"['CC2410', 'CC1284', 'CC2002', 'CC1582', 'CC2594']",LFPG,EHAM,07:25:00,22:35:00,0 days 08:45:00,705.0,2886.75
192,"['CC1152', 'CC2124', 'CC1601', 'CC2146']",EGLL,EGLL,06:50:00,19:50:00,0 days 07:00:00,0.0,1781.0
193,"['CC3897', 'CC2398', 'CC1301', 'CC2146', 'CC1490']",EDDF,LFPG,06:05:00,22:20:00,0 days 09:10:00,1215.0,3492.166666666667
194,"['CC3621', 'CC2361', 'CC1011', 'CC2697', 'CC3597']",EHAM,LFPG,06:20:00,19:25:00,0 days 08:45:00,1215.0,3396.75
195,"['CC4781', 'CC2875']",EIDW,EDDF,18:25:00,23:05:00,0 days 04:25:00,650.0,1839.4166666666665
196,"['CC2175', 'CC1435', 'CC2654', 'CC3434', 'CC1125']",LFPG,LFPG,08:25:00,22:05:00,0 days 09:00:00,0.0,2239.0
197,"['CC3897', 'CC2032']",EDDF,EGLL,06:05:00,11:30:00,0 days 03:40:00,785.0,1802.6666666666665
198,"['CC1674', 'CC3778', 'CC2302', 'CC1125']",EGLL,LFPG,06:35:00,22:05:00,0 days 07:20:00,1215.0,3072.333333333333
199,"['CC1210', 'CC1918', 'CC1463', 'CC2773', 'CC3540']",EGLL,LFPG,06:05:00,22:35:00,0 days 08:40:00,1215.0,3377.666666666667
200,"['CC2175', 'CC1373', 'CC2579', 'CC3644', 'CC2594']",LFPG,EHAM,08:25:00,22:35:00,0 days 08:45:00,705.0,2886.75
201,"['CC1152', 'CC3293', 'CC5095', 'CC4606']",EGLL,EDDT,06:50:00,20:25:00,0 days 08:40:00,555.0,2717.666666666667
202,"['CC2410', 'CC1284', 'CC2002', 'CC1031', 'CC2953']",LFPG,LEMD,07:25:00,21:50:00,0 days 09:45:00,555.0,2965.75
203,"['CC2410', 'CC1198', 'CC2697', 'CC3644', 'CC3056']",LFPG,EDDM,07:25:00,22:55:00,0 days 09:15:00,660.0,2956.25
204,"['CC2486', 'CC1601', 'CC2146', 'CC1490']",LFPG,LFPG,12:25:00,22:20:00,0 days 07:20:00,0.0,1857.3333333333333
205,"['CC2302', 'CC1601', 'CC2146', 'CC1814']",LFPG,EIDW,14:00:00,22:45:00,0 days 07:40:00,555.0,2488.666666666667
206,"['CC1152', 'CC2398', 'CC1011', 'CC3149', 'CC4679']",EGLL,EGLL,06:50:00,20:55:00,0 days 09:45:00,0.0,2410.75
207,"['CC2097', 'CC1435', 'CC2500', 'CC1874']",LFPG,EIDW,06:30:00,22:15:00,0 days 07:40:00,555.0,2488.666666666667
208,"['CC1210', 'CC2124', 'CC1701']",EGLL,EHAM,06:05:00,21:35:00,0 days 05:25:00,705.0,2123.416666666667
209,"['CC3621', 'CC2538', 'CC1301', 'CC2204', 'CC1874']",EHAM,EIDW,06:20:00,22:15:00,0 days 09:35:00,555.0,2927.583333333333
210,"['CC2410', 'CC1284', 'CC2849', 'CC3960', 'CC4519']",LFPG,EDDF,07:25:00,21:10:00,0 days 08:40:00,650.0,2812.666666666667
211,"['CC1069', 'CC2332', 'CC1347', 'CC2594']",EGLL,EHAM,08:55:00,22:35:00,0 days 07:05:00,705.0,2505.083333333333
212,"['CC2277', 'CC1247', 'CC2953']",LFPG,LEMD,10:10:00,21:50:00,0 days 06:25:00,555.0,2202.416666666667
213,"['CC2277', 'CC1198', 'CC2443', 'CC1347', 'CC2594']",LFPG,EHAM,10:10:00,22:35:00,0 days 08:55:00,705.0,2924.916666666667
214,"['CC1210', 'CC1918', 'CC1551', 'CC2806', 'CC3540']",EGLL,LFPG,06:05:00,22:35:00,0 days 08:40:00,1215.0,3377.666666666667
215,"['CC3778', 'CC2124', 'CC1394', 'CC2146', 'CC1125']",EHAM,LFPG,10:35:00,22:05:00,0 days 08:35:00,1215.0,3358.583333333333
216,"['CC3897', 'CC2361', 'CC1011', 'CC2594']",EDDF,EHAM,06:05:00,22:35:00,0 days 07:15:00,705.0,2543.25
217,"['CC1918', 'CC1247', 'CC2246', 'CC1347', 'CC2594']",LFPG,EHAM,08:50:00,22:35:00,0 days 08:45:00,705.0,2886.75
218,"['CC3897', 'CC2398', 'CC1011', 'CC2066', 'CC1490']",EDDF,LFPG,06:05:00,22:20:00,0 days 09:00:00,1215.0,3454.0
219,"['CC1674', 'CC3778', 'CC2124', 'CC1125']",EGLL,LFPG,06:35:00,22:05:00,0 days 07:10:00,1215.0,3034.166666666667
220,"['CC2175', 'CC1373', 'CC2500', 'CC1814']",LFPG,EIDW,08:25:00,22:45:00,0 days 07:40:00,555.0,2488.666666666667
221,"['CC3677', 'CC2332', 'CC1601', 'CC2146', 'CC1814']",EHAM,EIDW,07:40:00,22:45:00,0 days 09:25:00,555.0,2889.416666666667
222,"['CC4920', 'CC1940', 'CC1031', 'CC3191']",LPPT,ESSA,08:30:00,23:20:00,0 days 09:55:00,540.0,2988.9166666666665
223,"['CC4829', 'CC2332', 'CC1301', 'CC2953']",EIDW,LEMD,07:45:00,21:50:00,0 days 09:10:00,555.0,2832.166666666667
224,"['CC3343', 'CC5181', 'CC2443', 'CC1347', 'CC2875']",LFPG,EDDF,08:35:00,23:05:00,0 days 10:40:00,650.0,3270.6666666666665
225,"['CC1373', 'CC2697', 'CC3568']",EGLL,LFPG,10:40:00,20:50:00,0 days 05:20:00,1215.0,2614.333333333333
